country,iso3c,year,life_expectancy,gdp_per_capita_ppp,health_expenditure,access_clean_water,infant_mortality,region,income,life_expectancy_is_outlier,gdp_per_capita_ppp_is_outlier,health_expenditure_is_outlier,access_clean_water_is_outlier,infant_mortality_is_outlier,log_gdp_pc
Afghanistan,AFG,2010,60.702,1765.53802830615,46.42438889,48.8269685242371,76.9,South Asia,Low income,FALSE,FALSE,FALSE,TRUE,FALSE,7.476210754817094
Afghanistan,AFG,2020,61.454,2561.98176058622,80.0892334,76.72225540254,55.3,South Asia,Low income,FALSE,FALSE,FALSE,FALSE,FALSE,7.8485363632222125
Albania,ALB,2000,74.826,3976.92608302032,65.47674561,86.3970439494077,17.9,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.288264458919885
Albania,ALB,2010,78.414,9755.92875964596,253.98246765,91.3794796111017,9.7,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.185630457099839
Albania,ALB,2020,77.824,14512.0376833706,396.17477417,95.0680388145809,8.1,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.582733769055695
Algeria,DZA,2010,74.144,14201.3659906969,227.95396423,92.2959734615905,24.4,Middle East & North Africa,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.561093435490713
Algeria,DZA,2000,70.576,9186.81590342899,61.85785294,89.8488285798425,34.7,Middle East & North Africa,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.125524681258124
Algeria,DZA,2020,73.257,12676.5130564294,211.07276917,94.4373299704124,20.4,Middle East & North Africa,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.447506194623275
Andorra,AND,2010,84.197,43853.1712385354,3277.78515625,99.9999980744897,4.2,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.688602315334393
Andorra,AND,2020,79.418,52095.8414004627,3282.81738281,99.9999985271439,2.7,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.860840404986853
Andorra,AND,2000,81.863,33458.1181625074,1295.08508301,99.9999994632633,6.6,Europe & Central Asia,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.418049731551777
Angola,AGO,2000,46.501,3326.77991382792,13.15998554,41.1443097881583,115,Sub-Saharan Africa,Lower middle income,TRUE,FALSE,FALSE,TRUE,TRUE,8.109760122290819
Angola,AGO,2020,63.116,6450.74994625154,55.93916321,57.1677379228367,42.3,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.771951673767573
Angola,AGO,2010,57.242,6607.0221970301,96.95197296,50.3768404281237,68.9,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.795888331647385
Antigua and Barbuda,ATG,2020,77.161,22370.0918693813,883.50018311,98.3649937785451,7.8,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.015480161287602
Antigua and Barbuda,ATG,2010,76.701,24071.0297956482,724.08880615,98.3661765475755,9.5,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.088764313229122
Argentina,ARG,2010,75.68,17847.6110373178,975.65991211,98.4340478989156,12.4,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.789624942806642
Argentina,ARG,2000,73.91,11499.9828002518,702.23309326,96.2840257442126,16.7,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.350100818719945
Armenia,ARM,2010,73.1731707317073,7095.21267979009,291.77758789,98.138914628293,16.4,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.867175565154751
Armenia,ARM,2000,72.8804878048781,2530.74394657194,25.6606369,95.3321795073804,27.8,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.836268588525765
Armenia,ARM,2020,73.3756097560976,14706.3173043422,535.2723999,99.9415163996124,10.2,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.596032429046055
Australia,AUS,2020,83.2,53984.1246979075,5952.890625,99.9698176501115,3.2,East Asia & Pacific,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.896445295247952
Australia,AUS,2000,79.2341463414634,26541.6653208437,1626.73388672,99.7122951850974,5.1,East Asia & Pacific,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.186471053500307
Australia,AUS,2010,81.6951219512195,39372.8511038542,4947.96337891,99.8831444931569,4,East Asia & Pacific,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.580831799498446
